SKU,Nombre,Precio,Marca,Laboratorio,Codigo_Barras_1,Codigo_Barras_2,Codigo_Barras_3,Codigo_Barras_4,Categoria,Es_Medicamento
44083,4 Castaño Medio Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503514,,,,Coloración Permanente,
44085,Omeprazol Denver Cap 20X28,1473.74,Denver Farma,Denver Farma,7798050062446,,,,Medicamentos Bajo Receta,true
44086,5 Castaño Claro Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503521,,,,Coloración Permanente,
44091,3 Castaño Oscuro Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503507,,,,Coloración Permanente,
44093,7.3 Rubio Medio Dorado Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503767,,,,Coloración Permanente,
44094,7 Rubio Medio Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503545,,,,Coloración Permanente,
44095,7.1 Rubio Medio Ceniza Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503590,,,,Coloración Permanente,
44096,9 Rubio Clarisimo Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503569,,,,Coloración Permanente,
44097,9.1 Rubio Clarisimo Ceniza Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503613,,,,Coloración Permanente,
44098,8.3 Rubio Claro Dorado Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503774,,,,Coloración Permanente,
44099,8 Rubio Claro Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503552,,,,Coloración Permanente,
44100,8.1 Rubio Claro Ceniza Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503606,,,,Coloración Permanente,
44102,6 Rubio Oscuro Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503538,,,,Coloración Permanente,
44105,6.1 Rubio Oscuro Ceniza Kit X150G,5996.97,Alta Moda,Alfaparf,7898468503583,,,,Coloración Permanente,
44106,Desamarillentador Kit,5996.97,Alta Moda,Alfaparf,7898468503811,,,,Coloración Permanente,
44107,Shampoo Alta Moda Hidra Save x300ml,3276.53,Alta Moda,Alfaparf,7899884223628,7798180960186,7898468509110,,Shampoo,
44108,Shampoo Alta Moda Repair & Defense x300ml,3276.53,Alta Moda,Alfaparf,7899884223932,7798180960193,,,Shampoo,
44113,Acondicionador Alta Moda Hidra Save x300ml,3276.53,Alta Moda,Alfaparf,7899884223611,7798180960254,7898468509172,,Acondicionadores y Cremas,
44122,Hydra Nutri Crema Para Peinar X200,3863.66,Alta Moda,Alfaparf,7798180960384,7898468509202,,,Tratamiento y Reparación,
44130,Ureadin Fusion Antiarrugas Serum Lift,107128,ISDIN,ISDIN PERFUMERIA,8470001691880,,,,Antiage,
4414,Erisol 4% Sol X50,11700,Medisol,Medisol,7795373010413,,,,Medicamentos Bajo Receta,true
44150,Cepillo Interdental Conico Soft X8,6808.15,BUCAL TAC,GRIMBERG DENTALES SA,7798034748373,,,,Cepillos Dentales,
44151,Minipenacho Cep B912R,561.23,BUCAL TAC,GRIMBERG DENTALES SA,7798034749912,,,,Cepillos Dentales,
44172,Daflon Sachet 1000X30,124239,Servier,Servier,7795384000151,,,,Medicamentos Bajo Receta,true
44184,Caviar & Argan Shampoo X250,12592.8,Bkd,Black Diamond,7798135961534,,,,Shampoo,
44185,Caviar & Argan Acondicionador X250,12592.8,Bkd,Black Diamond,7798135961541,,,,Acondicionadores y Cremas,
44186,Caviar & Argan Mascara X200,13042.5,Bkd,Black Diamond,7798135961558,,,,Tratamiento y Reparación,
44187,Caviar & Argan Elixir Oil X120,25185.6,Bkd,Black Diamond,7798135961565,,,,Modelado y Peinado,
44189,Caviar Instant Bifase Leche Para Peinar X250Ml,13942,Bkd,Black Diamond,7798135961756,,,,Acondicionadores y Cremas,
4419,Eritromed Gts X10,2869.77,Bausch & Lomb Arg.,Bausch & Lomb Arg.,7798069050236,7795373010437,,,Medicamentos Bajo Receta,true
44195,Parasul Com 20X28,72210,Sidus,Sidus,7795356001612,7791829000939,,,Medicamentos Bajo Receta,true
44202,Alliance Tobacco Vainlle (H)Edtx50Ml,5459.35,Alliance,CANNON PUNTANA,7791600191368,,,,Fragancia Masculina,
44203,Alliance Tobacco Vainlle(H)Edtx80 Ml,1340.2,Alliance,CANNON PUNTANA,7791600191474,,,,Fragancia Masculina,
44204,Tobacco Vainlle Desodorante Aerosol X150,4920.99,Alliance,CANNON PUNTANA,7791600401252,,,,Desodorantes Masculinos,
44209,Leche Infantil Vital Etapa 3 Nutri-Plus Brick x200ml,2182,Vital,KASD,7795323774549,7795323002192,7795323002376,,Leches y Alimentos,true
44212,Faja Elastica Ballenada Body Care T-5 -1352,61436.5,Body Care,BODY,7798082441240,,,,Ortopedia y Postura,
44213,Desodorante Axe Black Aerosol x150ml,3398.65,Axe,UNIL,7791293028781,7791293043821,7791293041117,,Desodorantes Masculinos,
44214,Antitranspirante Axe Black En Aerosol 150 Ml,2780.97,Axe,UNIL,7791293043746,7791293041032,7791293028774,,Desodorantes Masculinos,
44218,Sucaryl Stevia Sob X50,3241.08,Sucaryl,MERI,7792129003484,7792129003224,,,Edulcorantes,true
44219,Sucaryl Stevia Sob X100,5602.82,Sucaryl,MERI,7792129003491,7792129003231,,,Edulcorantes,true
44221,Veraldid Com X30,17639,Souberian Chobe,SOUBERIAN CHOBE,7795375000481,,,,Medicamentos Bajo Receta,true
44222,Veraldid Com X60,34737,Souberian Chobe,SOUBERIAN CHOBE,7795375000498,,,,Medicamentos Bajo Receta,true
44223,Veraldid 500/150 Com X30,34870,Souberian Chobe,SOUBERIAN CHOBE,7795375000450,,,,Medicamentos Bajo Receta,true
44232,Coltix Colirio Gotas X12,11556.1,Coltix,Millet-Gramon,7791984000621,,,,Medicamentos Bajo Receta,true
44247,Osiris Sol X10,35423.3,Elea Phoenix,Elea Phoenix,7796285276522,,,,Medicamentos Bajo Receta,true
